danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.377,0.651,4,-5.437,0,0.0589,0.0197,5.31e-05,0.174,0.0851,129.607,audio_features,2ogKhhoMClkFXek7ZgxAhN,219742,4,0.216,1.0,0.575,0.494
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,217307,4,0.72,0.995,0.771,0.64
0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,audio_features,2DB4DdfCFMw1iaR6JaR03a,206071,4,0.773,1.0,0.414,0.599
0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,audio_features,4eWQlBRaTjPPUlzacqEeoQ,226973,4,0.654,0.918,0.594,0.603
0.739,0.682,1,-6.872,1,0.126,0.0786,3.88e-05,0.106,0.471,124.894,audio_features,6G53gri09h5KXRegSCcWy9,181840,4,0.353,1.0,0.258,0.488
0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,audio_features,3yOlyBJuViE2YSGn3nVE1K,170746,4,0.565,1.0,0.543,0.516
0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027,audio_features,4VUwkH455At9kENOfzTqmF,180000,4,0.226,1.0,0.601,0.689
0.687,0.761,9,-4.582,0,0.0876,0.102,0.0,0.147,0.743,113.939,audio_features,2GyA33q5rti5IxkMQemRDH,223853,4,0.72,1.0,0.417,0.382
0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,222000,4,0.791,1.0,0.492,0.499
0.763,0.626,5,-5.637,0,0.0433,0.0859,0.225,0.205,0.78,100.02,audio_features,5Uptvz6j1sjDKxidAcnH2L,156171,4,0.661,1.0,0.605,0.558
0.725,0.671,4,-6.409,0,0.0557,0.0661,9.08e-05,0.36,0.353,96.974,audio_features,4IJWhehNLXru5WfS71EWSx,192000,4,0.469,1.0,0.619,0.462
0.776,0.737,1,-5.52,0,0.0636,0.0979,6.46e-05,0.0693,0.547,97.011,audio_features,2kvpHbQHp9QmcG9WhyLwco,173786,4,0.912,1.0,0.322,0.411
0.846,0.755,10,-2.47,0,0.0738,0.0361,0.0,0.0448,0.883,96.002,audio_features,0GJwUAlBMJTbY4VE7iE761,205145,4,0.725,1.0,0.587,0.599
0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,audio_features,0lREs0EdgrMQQKw00yx0Ct,153750,4,0.867,1.0,0.486,0.489
0.724,0.675,5,-8.166,0,0.0499,0.143,7.61e-05,0.208,0.414,97.988,audio_features,3YkpOplxxP5U32K6Eq4irv,169011,4,0.33,1.0,0.0,0.233
0.765,0.872,1,-5.863,1,0.0498,0.173,5.65e-06,0.0749,0.722,94.999,audio_features,0NO2zL0kw8sGGnaMvHKAZF,237474,4,0.826,1.0,0.317,0.645
0.773,0.795,8,-6.362,0,0.174,0.262,0.0,0.278,0.736,96.955,audio_features,2vUxVG2aZe293MJQ4GtcVz,198879,4,0.574,1.0,0.37,0.373
0.857,0.598,11,-7.202,1,0.0756,0.0341,0.0,0.476,0.574,98.059,audio_features,17SRuSYEW2fdGok0m0vAsO,155723,4,0.238,1.0,0.432,0.424
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,244960,4,0.314,1.0,0.643,0.618
0.752,0.488,6,-7.05,1,0.0705,0.293,9.2e-06,0.0936,0.533,136.07,audio_features,6FZDfxM3a3UCqtzo5pxSLZ,201661,4,0.726,1.0,0.562,0.585
0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,audio_features,7FGq80cy8juXBCD2nrqdWU,170770,4,0.17,0.966,0.467,0.642
0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,audio_features,5k38wzpLb15YgncyWdTZE4,268867,4,0.468,1.0,0.657,0.668
0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,audio_features,4a9tbd947vo9K8Vti9JwcI,229773,4,0.732,1.0,0.518,0.563
0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.992,audio_features,3Z8FwOEN59mRMxDCtb8N0A,172762,4,0.004,0.81,0.448,0.505
0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,audio_features,3OzCF9i6Ey7EkkAYJztmKp,181279,4,0.597,0.982,0.72,0.61
0.626,0.423,1,-6.035,1,0.0513,0.128,0.0,0.18,0.571,95.162,audio_features,1Ao5nOuAUm42ob1UVvOkgW,101790,4,0.312,1.0,0.235,0.562
